2015-12-15 05:48:01 install glib-networking:armhf <none> 2.44.0-1
2015-12-15 05:48:01 status half-installed glib-networking:armhf 2.44.0-1
2015-12-15 05:48:01 status half-installed glib-networking:armhf 2.44.0-1
2015-12-15 05:48:01 status unpacked glib-networking:armhf 2.44.0-1
2015-12-15 05:48:01 status unpacked glib-networking:armhf 2.44.0-1
2015-12-15 05:48:01 install libsoup2.4-1:armhf <none> 2.49.92-1
2015-12-15 05:48:01 status half-installed libsoup2.4-1:armhf 2.49.92-1
2015-12-15 05:48:01 status unpacked libsoup2.4-1:armhf 2.49.92-1
2015-12-15 05:48:01 status unpacked libsoup2.4-1:armhf 2.49.92-1
2015-12-15 05:48:01 install libmnl0:armhf <none> 1.0.3-5
2015-12-15 05:48:01 status half-installed libmnl0:armhf 1.0.3-5
2015-12-15 05:48:01 status unpacked libmnl0:armhf 1.0.3-5
2015-12-15 05:48:01 status unpacked libmnl0:armhf 1.0.3-5
2015-12-15 05:48:01 install libnetfilter-conntrack3:armhf <none> 1.0.4-1
2015-12-15 05:48:01 status half-installed libnetfilter-conntrack3:armhf 1.0.4-1
2015-12-15 05:48:01 status unpacked libnetfilter-conntrack3:armhf 1.0.4-1
2015-12-15 05:48:01 status unpacked libnetfilter-conntrack3:armhf 1.0.4-1
2015-12-15 05:48:01 install dnsmasq-base:armhf <none> 2.72-3
2015-12-15 05:48:01 status half-installed dnsmasq-base:armhf 2.72-3
2015-12-15 05:48:01 status triggers-pending dbus:armhf 1.8.12-1ubuntu5
2015-12-15 05:48:01 status half-installed dnsmasq-base:armhf 2.72-3
2015-12-15 05:48:01 status unpacked dnsmasq-base:armhf 2.72-3
2015-12-15 05:48:01 status unpacked dnsmasq-base:armhf 2.72-3
2015-12-15 05:48:01 install policykit-1:armhf <none> 0.105-8ubuntu2
2015-12-15 05:48:01 status half-installed policykit-1:armhf 0.105-8ubuntu2
2015-12-15 05:48:01 status half-installed policykit-1:armhf 0.105-8ubuntu2
2015-12-15 05:48:01 status triggers-pending dbus:armhf 1.8.12-1ubuntu5
2015-12-15 05:48:01 status unpacked policykit-1:armhf 0.105-8ubuntu2
2015-12-15 05:48:01 status unpacked policykit-1:armhf 0.105-8ubuntu2
2015-12-15 05:48:01 install network-manager:armhf <none> 0.9.10.0-4ubuntu15
2015-12-15 05:48:01 status half-installed network-manager:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:01 status half-installed network-manager:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:01 status triggers-pending ureadahead:armhf 0.100.0-19
2015-12-15 05:48:01 status triggers-pending ureadahead:armhf 0.100.0-19
2015-12-15 05:48:01 status triggers-pending systemd:armhf 219-7ubuntu3
2015-12-15 05:48:01 status unpacked network-manager:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:01 status unpacked network-manager:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:01 trigproc libglib2.0-0:armhf 2.44.0-1ubuntu3 <none>
2015-12-15 05:48:01 status half-configured libglib2.0-0:armhf 2.44.0-1ubuntu3
2015-12-15 05:48:01 status installed libglib2.0-0:armhf 2.44.0-1ubuntu3
2015-12-15 05:48:01 trigproc dbus:armhf 1.8.12-1ubuntu5 <none>
2015-12-15 05:48:01 status half-configured dbus:armhf 1.8.12-1ubuntu5
2015-12-15 05:48:01 status installed dbus:armhf 1.8.12-1ubuntu5
2015-12-15 05:48:01 trigproc ureadahead:armhf 0.100.0-19 <none>
2015-12-15 05:48:01 status half-configured ureadahead:armhf 0.100.0-19
2015-12-15 05:48:01 status installed ureadahead:armhf 0.100.0-19
2015-12-15 05:48:01 trigproc systemd:armhf 219-7ubuntu3 <none>
2015-12-15 05:48:01 status half-configured systemd:armhf 219-7ubuntu3
2015-12-15 05:48:01 status installed systemd:armhf 219-7ubuntu3
2015-12-15 05:48:02 startup packages configure
2015-12-15 05:48:02 configure libdbus-glib-1-2:armhf 0.102-1 <none>
2015-12-15 05:48:02 status unpacked libdbus-glib-1-2:armhf 0.102-1
2015-12-15 05:48:02 status half-configured libdbus-glib-1-2:armhf 0.102-1
2015-12-15 05:48:02 status installed libdbus-glib-1-2:armhf 0.102-1
2015-12-15 05:48:02 status triggers-pending libc-bin:armhf 2.21-0ubuntu4
2015-12-15 05:48:02 configure libnfnetlink0:armhf 1.0.1-3 <none>
2015-12-15 05:48:02 status unpacked libnfnetlink0:armhf 1.0.1-3
2015-12-15 05:48:02 status half-configured libnfnetlink0:armhf 1.0.1-3
2015-12-15 05:48:02 status installed libnfnetlink0:armhf 1.0.1-3
2015-12-15 05:48:02 configure libpolkit-gobject-1-0:armhf 0.105-8ubuntu2 <none>
2015-12-15 05:48:02 status unpacked libpolkit-gobject-1-0:armhf 0.105-8ubuntu2
2015-12-15 05:48:02 status half-configured libpolkit-gobject-1-0:armhf 0.105-8ubuntu2
2015-12-15 05:48:02 status installed libpolkit-gobject-1-0:armhf 0.105-8ubuntu2
2015-12-15 05:48:02 configure libdconf1:armhf 0.22.0-1 <none>
2015-12-15 05:48:02 status unpacked libdconf1:armhf 0.22.0-1
2015-12-15 05:48:02 status half-configured libdconf1:armhf 0.22.0-1
2015-12-15 05:48:02 status installed libdconf1:armhf 0.22.0-1
2015-12-15 05:48:02 configure libgudev-1.0-0:armhf 1:219-7ubuntu3 <none>
2015-12-15 05:48:02 status unpacked libgudev-1.0-0:armhf 1:219-7ubuntu3
2015-12-15 05:48:02 status half-configured libgudev-1.0-0:armhf 1:219-7ubuntu3
2015-12-15 05:48:02 status installed libgudev-1.0-0:armhf 1:219-7ubuntu3
2015-12-15 05:48:02 configure libmm-glib0:armhf 1.4.0-1 <none>
2015-12-15 05:48:02 status unpacked libmm-glib0:armhf 1.4.0-1
2015-12-15 05:48:02 status half-configured libmm-glib0:armhf 1.4.0-1
2015-12-15 05:48:02 status installed libmm-glib0:armhf 1.4.0-1
2015-12-15 05:48:02 configure libndp0:armhf 1.4-2 <none>
2015-12-15 05:48:02 status unpacked libndp0:armhf 1.4-2
2015-12-15 05:48:02 status half-configured libndp0:armhf 1.4-2
2015-12-15 05:48:02 status installed libndp0:armhf 1.4-2
2015-12-15 05:48:02 configure libnl-route-3-200:armhf 3.2.24-2 <none>
2015-12-15 05:48:02 status unpacked libnl-route-3-200:armhf 3.2.24-2
2015-12-15 05:48:02 status half-configured libnl-route-3-200:armhf 3.2.24-2
2015-12-15 05:48:02 status installed libnl-route-3-200:armhf 3.2.24-2
2015-12-15 05:48:02 configure libnm-util2:armhf 0.9.10.0-4ubuntu15 <none>
2015-12-15 05:48:02 status unpacked libnm-util2:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:02 status half-configured libnm-util2:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:02 status installed libnm-util2:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:02 configure libnm-glib4:armhf 0.9.10.0-4ubuntu15 <none>
2015-12-15 05:48:02 status unpacked libnm-glib4:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:02 status half-configured libnm-glib4:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:02 status installed libnm-glib4:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:02 configure libpolkit-agent-1-0:armhf 0.105-8ubuntu2 <none>
2015-12-15 05:48:02 status unpacked libpolkit-agent-1-0:armhf 0.105-8ubuntu2
2015-12-15 05:48:02 status half-configured libpolkit-agent-1-0:armhf 0.105-8ubuntu2
